ply, wonA, wonB, draw
1-5,0,0,0
6-10,0,0,0
11-15,0,0,0
16-20,0,0,0
21-25,1,0,0
26-30,0,0,0
31-35,1,0,0
36-40,0,0,0
41-45,1,0,0
46-50,0,0,0
51-55,2,2,1
56-60,1,0,0
61-65,0,0,0
66-70,4,0,0
71-75,1,0,0
76-80,1,1,1
81-85,2,0,0
86-90,4,1,0
91-95,4,1,0
96-100,4,1,1
101-105,3,2,0
106-110,5,2,0
111-115,2,2,1
116-120,3,1,0
121-125,3,0,0
126-130,4,0,2
131-135,1,2,1
136-140,1,2,0
141-145,2,0,0
146-150,2,0,0
151-155,0,0,1
156-160,0,2,0
161-165,0,0,0
166-170,2,0,1
171-175,2,0,1
176-180,0,0,0
181-185,2,0,0
186-190,0,0,0
191-195,0,0,0
196-200,1,0,0
201-205,1,0,1
206-210,2,1,0
211-215,0,0,0
216-220,0,0,0
221-225,0,0,0
226-230,0,0,0
231-235,0,0,0
236-240,0,0,0
241-245,0,0,0
246-250,0,0,0
251-255,1,0,0
